"gene","pct.1","pct.2","description","pct_treated_cells_minus_pct_ctrl"
"PTPN7",0.186,0.704,"protein tyrosine phosphatase non-receptor type 7 [Source:HGNC Symbol;Acc:HGNC:9659]",0.518
"PRDM2",0.225,0.741,"PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]",0.516
"SRSF5",0.412,0.926,"serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]",0.514
"TMEM59",0.157,0.667,"transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239]",0.51
"HNRNPA1",0.382,0.889,"heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]",0.507
"RPS17",0.314,0.815,"ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]",0.5009999999999999
"DAD1",0.167,0.667,"defender against cell death 1 [Source:HGNC Symbol;Acc:HGNC:2664]",0.5
"SKP1",0.206,0.704,"S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]",0.498
"PABPC1",0.392,0.889,"poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]",0.497
"ST13",0.137,0.63,"ST13 Hsp70 interacting protein [Source:HGNC Symbol;Acc:HGNC:11343]",0.493
"CD55",0.137,0.63,"CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]",0.493
"SRSF7",0.324,0.815,"serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]",0.49099999999999994
"STK4",0.216,0.704,"serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]",0.488
"IGLC2",0.441,0.926,"immunoglobulin lambda constant 2 [Source:HGNC Symbol;Acc:HGNC:5856]",0.48500000000000004
"ATP6V0B",0.108,0.593,"ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]",0.485
"TUT4",0.108,0.593,"terminal uridylyl transferase 4 [Source:HGNC Symbol;Acc:HGNC:28981]",0.485
"SEPTIN2",0.147,0.63,"septin 2 [Source:HGNC Symbol;Acc:HGNC:7729]",0.483
"DGUOK",0.147,0.63,"deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]",0.483
"UBE2D2",0.186,0.667,"ubiquitin conjugating enzyme E2 D2 [Source:HGNC Symbol;Acc:HGNC:12475]",0.48100000000000004
"ANKRD12",0.225,0.704,"ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]",0.479
"SLC25A3",0.225,0.704,"solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]",0.479
"HERPUD1",0.412,0.889,"homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]",0.47700000000000004
"ICAM3",0.157,0.63,"intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]",0.473
"CHURC1",0.157,0.63,"churchill domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20099]",0.473
"NDUFAB1",0.049,0.519,"NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]",0.47000000000000003
"SRRM2",0.382,0.852,"serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:HGNC:16639]",0.47
"ZFP36L1",0.235,0.704,"ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]",0.469
"CNBP",0.235,0.704,"CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]",0.469
"PSIP1",0.127,0.593,"PC4 and SFRS1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]",0.46599999999999997
"PNN",0.275,0.741,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]",0.46599999999999997
"CALM2",0.314,0.778,"calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]",0.464
"NCOA3",0.167,0.63,"nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]",0.46299999999999997
"RPL22L1",0.167,0.63,"ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]",0.46299999999999997
"RBM3",0.167,0.63,"RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]",0.46299999999999997
"VPS28",0.167,0.63,"VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178]",0.46299999999999997
"ARID5B",0.206,0.667,"AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]",0.4610000000000001
"SRSF11",0.206,0.667,"serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]",0.4610000000000001
"PNRC1",0.245,0.704,"proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]",0.45899999999999996
"NCF1",0.245,0.704,"neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]",0.45899999999999996
"SELENOF",0.137,0.593,"selenoprotein F [Source:HGNC Symbol;Acc:HGNC:17705]",0.45599999999999996
"NCL",0.176,0.63,"nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]",0.454
"FCRL5",0.176,0.63,"Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508]",0.454
"LINC01578",0.176,0.63,"long intergenic non-protein coding RNA 1578 [Source:HGNC Symbol;Acc:HGNC:48626]",0.454
"PDCD6",0.176,0.63,"programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]",0.454
"FCMR",0.324,0.778,"Fc fragment of IgM receptor [Source:HGNC Symbol;Acc:HGNC:14315]",0.454
"SEPTIN9",0.255,0.704,"septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]",0.44899999999999995
"LIMD2",0.48,0.926,"LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]",0.44600000000000006
"ARID4B",0.147,0.593,"AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]",0.44599999999999995
"EIF4A1",0.186,0.63,"eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]",0.444
"SYNGR2",0.186,0.63,"synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]",0.444
"SFT2D1",0.118,0.556,"SFT2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21102]",0.43800000000000006
"SRSF3",0.304,0.741,"serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]",0.437
"MSN",0.157,0.593,"moesin [Source:HGNC Symbol;Acc:HGNC:7373]",0.43599999999999994
"CALR",0.157,0.593,"calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]",0.43599999999999994
"JMJD1C",0.157,0.593,"jumonji domain containing 1C [Source:HGNC Symbol;Acc:HGNC:12313]",0.43599999999999994
"PRKCB",0.343,0.778,"protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]",0.435
"FAM107B",0.196,0.63,"family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]",0.434
"TANK",0.088,0.519,"TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]",0.43100000000000005
"AGPAT5",0.127,0.556,"1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886]",0.42900000000000005
"ISCU",0.167,0.593,"iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]",0.42599999999999993
"UBE2D3",0.167,0.593,"ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]",0.42599999999999993
"ATM",0.167,0.593,"ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]",0.42599999999999993
"UBXN1",0.206,0.63,"UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402]",0.42400000000000004
"RPL4",0.578,1,"ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]",0.42200000000000004
"RIPOR2",0.284,0.704,"RHO family interacting cell polarization regulator 2 [Source:HGNC Symbol;Acc:HGNC:13872]",0.42
"ELF1",0.137,0.556,"E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]",0.41900000000000004
"CCDC88A",0.137,0.556,"coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]",0.41900000000000004
"ARHGAP45",0.137,0.556,"Rho GTPase activating protein 45 [Source:HGNC Symbol;Acc:HGNC:17102]",0.41900000000000004
"ARF6",0.176,0.593,"ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]",0.417
"HNRNPH3",0.176,0.593,"heterogeneous nuclear ribonucleoprotein H3 [Source:HGNC Symbol;Acc:HGNC:5043]",0.417
"HNRNPC",0.216,0.63,"heterogeneous nuclear ribonucleoprotein C (C1/C2) [Source:HGNC Symbol;Acc:HGNC:5035]",0.41400000000000003
"HNRNPK",0.216,0.63,"heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:HGNC:5044]",0.41400000000000003
"CD69",0.255,0.667,"CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]",0.41200000000000003
"HNRNPU",0.255,0.667,"heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]",0.41200000000000003
"LMBRD1",0.108,0.519,"LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]",0.41100000000000003
"CDC42SE2",0.147,0.556,"CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]",0.40900000000000003
"CD47",0.147,0.556,"CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]",0.40900000000000003
"FCRL3",0.147,0.556,"Fc receptor like 3 [Source:HGNC Symbol;Acc:HGNC:18506]",0.40900000000000003
"HNRNPF",0.186,0.593,"heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]",0.407
"VMP1",0.186,0.593,"vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]",0.407
"HMGN3",0.186,0.593,"high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312]",0.407
"STK17A",0.225,0.63,"serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]",0.405
"HMGN1",0.225,0.63,"high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984]",0.405
"NSA2",0.118,0.519,"NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]",0.401
"CLNK",0.118,0.519,"cytokine dependent hematopoietic cell linker [Source:HGNC Symbol;Acc:HGNC:17438]",0.401
"NSD3",0.118,0.519,"nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767]",0.401
"TBL1XR1",0.118,0.519,"transducin beta like 1 X-linked receptor 1 [Source:HGNC Symbol;Acc:HGNC:29529]",0.401
"IL2RG",0.118,0.519,"interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]",0.401
"CIRBP",0.451,0.852,"cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]",0.40099999999999997
"HSP90B1",0.157,0.556,"heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]",0.399
"HNRNPA3",0.343,0.741,"heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]",0.39799999999999996
"TRAC",0.196,0.593,"T cell receptor alpha constant [Source:HGNC Symbol;Acc:HGNC:12029]",0.39699999999999996
"RPS27L",0.235,0.63,"ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]",0.395
"DOCK8",0.088,0.481,"dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]",0.393
"USP8",0.088,0.481,"ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]",0.393
"GNAS",0.422,0.815,"GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]",0.39299999999999996
"SH3BGRL",0.127,0.519,"SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]",0.392
"TLK1",0.127,0.519,"tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]",0.392
"CELF2",0.127,0.519,"CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]",0.392
"PTPN6",0.127,0.519,"protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]",0.392
"ZNF207",0.127,0.519,"zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]",0.392
"POMP",0.127,0.519,"proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]",0.392
"HNRNPD",0.167,0.556,"heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]",0.389
"NME3",0.167,0.556,"NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]",0.389
"TUBA1B",0.206,0.593,"tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]",0.387
"DDX3X",0.206,0.593,"DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]",0.387
"PIM3",0.206,0.593,"Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]",0.387
"MDM4",0.245,0.63,"MDM4 regulator of p53 [Source:HGNC Symbol;Acc:HGNC:6974]",0.385
"CD79A",0.578,0.963,"CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]",0.385
"UBC",0.578,0.963,"ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]",0.385
"CPNE1",0.098,0.481,"copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]",0.383
"APH1A",0.098,0.481,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]",0.383
"HP1BP3",0.098,0.481,"heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]",0.383
"TTC3",0.137,0.519,"tetratricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12393]",0.382
"EIF5A",0.137,0.519,"eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]",0.382
"WDR83OS",0.137,0.519,"WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:HGNC:30203]",0.382
"STX16",0.137,0.519,"syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]",0.382
"CXXC5",0.255,0.63,"CXXC finger protein 5 [Source:HGNC Symbol;Acc:HGNC:26943]",0.375
"OAZ1",0.588,0.963,"ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]",0.375
"ATP5MPL",0.108,0.481,"ATP synthase membrane subunit 6.8PL [Source:HGNC Symbol;Acc:HGNC:1188]",0.373
"PFKL",0.108,0.481,"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]",0.373
"BLOC1S1",0.108,0.481,"biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]",0.373
"EPC1",0.147,0.519,"enhancer of polycomb homolog 1 [Source:HGNC Symbol;Acc:HGNC:19876]",0.372
"TRA2B",0.147,0.519,"transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]",0.372
"BCLAF1",0.186,0.556,"BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]",0.37000000000000005
"DPP7",0.186,0.556,"dipeptidyl peptidase 7 [Source:HGNC Symbol;Acc:HGNC:14892]",0.37000000000000005
"TBC1D10C",0.186,0.556,"TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702]",0.37000000000000005
"RHOA",0.225,0.593,"ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]",0.368
"FTX",0.078,0.444,"FTX transcript, XIST regulator [Source:HGNC Symbol;Acc:HGNC:37190]",0.366
"TIMP1",0.078,0.444,"TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]",0.366
"FBXL15",0.078,0.444,"F-box and leucine rich repeat protein 15 [Source:HGNC Symbol;Acc:HGNC:28155]",0.366
"HLA-DMB",0.265,0.63,"major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]",0.365
"NDUFA5",0.118,0.481,"NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]",0.363
"MRPL20",0.118,0.481,"mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]",0.363
"STRBP",0.118,0.481,"spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]",0.363
"SWAP70",0.118,0.481,"switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]",0.363
"MARCH1",0.118,0.481,"membrane associated ring-CH-type finger 1 [Source:HGNC Symbol;Acc:HGNC:26077]",0.363
"PDCD4",0.157,0.519,"programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]",0.362
"RAP1B",0.157,0.519,"RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]",0.362
"GGA2",0.196,0.556,"golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]",0.36000000000000004
"SESN3",0.235,0.593,"sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]",0.358
"MCUB",0.088,0.444,"mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]",0.356
"DYNC1H1",0.088,0.444,"dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]",0.356
"STUB1",0.088,0.444,"STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]",0.356
"JPX",0.127,0.481,"JPX transcript, XIST activator [Source:HGNC Symbol;Acc:HGNC:37191]",0.354
"IGFLR1",0.127,0.481,"IGF like family receptor 1 [Source:HGNC Symbol;Acc:HGNC:23620]",0.354
"LY6E",0.127,0.481,"lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]",0.354
"RSRC2",0.127,0.481,"arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559]",0.354
"C1QBP",0.127,0.481,"complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]",0.354
"RBM38",0.167,0.519,"RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]",0.352
"VAMP2",0.167,0.519,"vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643]",0.352
"RUBCNL",0.167,0.519,"rubicon like autophagy enhancer [Source:HGNC Symbol;Acc:HGNC:20420]",0.352
"FCRL2",0.167,0.519,"Fc receptor like 2 [Source:HGNC Symbol;Acc:HGNC:14875]",0.352
"DDX17",0.539,0.889,"DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]",0.35
"EEF1B2",0.539,0.889,"eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]",0.35
"SNHG6",0.284,0.63,"small nucleolar RNA host gene 6 [Source:HGNC Symbol;Acc:HGNC:32965]",0.34600000000000003
"TUFM",0.098,0.444,"Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]",0.346
"FDPS",0.098,0.444,"farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]",0.346
"BZW1",0.098,0.444,"basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]",0.346
"TAF10",0.098,0.444,"TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]",0.346
"EBLN3P",0.137,0.481,"endogenous Bornavirus like nucleoprotein 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:50682]",0.344
"KTN1",0.176,0.519,"kinectin 1 [Source:HGNC Symbol;Acc:HGNC:6467]",0.343
"ORAI2",0.176,0.519,"ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:HGNC:21667]",0.343
"ADTRP",0.176,0.519,"androgen dependent TFPI regulating protein [Source:HGNC Symbol;Acc:HGNC:21214]",0.343
"H3F3A",0.657,1,"H3 histone family member 3A [Source:HGNC Symbol;Acc:HGNC:4764]",0.34299999999999997
"LUC7L3",0.363,0.704,"LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]",0.34099999999999997
"REX1BD",0.216,0.556,"required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]",0.3400000000000001
"ARPC4",0.069,0.407,"actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]",0.33799999999999997
"BUB3",0.069,0.407,"BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]",0.33799999999999997
"CDK14",0.069,0.407,"cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]",0.33799999999999997
"SUPT5H",0.069,0.407,"SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]",0.33799999999999997
"COX7B",0.069,0.407,"cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]",0.33799999999999997
"TMEM134",0.108,0.444,"transmembrane protein 134 [Source:HGNC Symbol;Acc:HGNC:26142]",0.336
"BLK",0.108,0.444,"BLK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1057]",0.336
"SSU72",0.108,0.444,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]",0.336
"CMPK1",0.108,0.444,"cytidine/uridine monophosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18170]",0.336
"PSMD13",0.108,0.444,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",0.336
"CLEC2D",0.294,0.63,"C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]",0.336
"EIF4G2",0.147,0.481,"eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]",0.33399999999999996
"DUT",0.147,0.481,"deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]",0.33399999999999996
"RBBP6",0.147,0.481,"RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]",0.33399999999999996
"ZNF107",0.147,0.481,"zinc finger protein 107 [Source:HGNC Symbol;Acc:HGNC:12887]",0.33399999999999996
"UQCRQ",0.147,0.481,"ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]",0.33399999999999996
"AFF3",0.147,0.481,"AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473]",0.33399999999999996
"PFDN5",0.667,1,"prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869]",0.33299999999999996
"GLOD4",0.039,0.37,"glyoxalase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:14111]",0.331
"CNOT6L",0.078,0.407,"CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042]",0.32899999999999996
"BCL3",0.078,0.407,"BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]",0.32899999999999996
"CXCR4",0.598,0.926,"C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]",0.32800000000000007
"RGS2",0.265,0.593,"regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]",0.32799999999999996
"TBCB",0.118,0.444,"tubulin folding cofactor B [Source:HGNC Symbol;Acc:HGNC:1989]",0.326
"GNB1",0.118,0.444,"G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]",0.326
"NEMF",0.118,0.444,"nuclear export mediator factor [Source:HGNC Symbol;Acc:HGNC:10663]",0.326
"PMAIP1",0.343,0.667,"phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]",0.324
"DDX39B",0.157,0.481,"DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]",0.32399999999999995
"TMEM123",0.157,0.481,"transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]",0.32399999999999995
"ATP5ME",0.196,0.519,"ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]",0.323
